"CITY","STATE","LAT","LON","CLIMATE"
"CONCORD","NH",43.2,-71,"Dfb"
"CORPUS_CHRISTI","TX",27.77,-97.5,"Cfa"
"DALLAS_FT_WORTH","TX",32.85,-96.8,NA
"DAYTON","OH",39.83,-84,"Dfa"
"DAYTONA_BEACH","FL",29.17,-81,"Cfa"
"DENVER","CO",39.9,-105,"BSk"
"DES_MOINES","IA",41.53,-93.6,"Dfa"
"DETROIT","MI",42.41,-83,"Dfa"
"DULUTH","MN",46.72,-92,"Dfb"
"EL_PASO","TX",31.81,-106.3,"BWk"
"ELKINS","WV",38.89,-79.8,"Cfb"
"ERIE","PA",42.08,-80.1,"Dfa"
"EUGENE","OR",44.13333,-123.2144,"Csb"
"EVANSVILLE","IN",38.04,-87.5,"Cfa"
"FAIRBANKS","IN",39.01,-87.6,"Cfa"
"FARGO","ND",46.93,-96.8,"Dfa/Dfb"
"FLAGSTAFF","AZ",35.14433,-111.6663,"Csb"
"FLINT","MI",42.97,-83.7,"Dfb"
"FORT_SMITH","AR",35.33,-94.3,"Csb"
"FORT_WAYNE","IN",40.97,-85.2,"Dfa"
"FRESNO","CA",36.78,-119.7194,"Csa"
"GOODLAND","KS",39.37,-101.6,"BSk"
"GRAND_JUNCTION","CO",39.13389,-108.5386,"BSk"
"GRAND_RAPIDS","MI",42.88,-85.5,"Dfa"
"GREAT_FALLS","MT",47.47333,-111.3822,"BSk"
"GREEN_BAY","WI",44.48,-88.1,"Dfb"
"GREENSBORO","NC",36.1,-79.9,"Cfa"
"HARRISBURG","PA",40.22,-76.8,"Cfa/Dfa"
"HARTFORD_SPGFLD","CT",41.74,-72.6," Cfa"
"HELENA","MT",46.60445,-111.989,"BSk"
"HONOLULU","HI",21.33,-157.9,"BSh"
"HOUSTON","TX",29.64,-95.2,"Cfa"
"HUNTSVILLE","AL",34.68,-86.6,"Cfa"
"INDIANAPOLIS","IN",39.73,-86.2,"Dfa"
"JACKSON","MS",32.33,-90.2,"Cfa"
"JACKSONVILLE","FL",30.23,-81.6,"Cfa"
"JUNEAU","AK",58.35,-134.5,"Dfb/Dfc"
"KANSAS_CITY","MO",39.12,-94,"Cfa"
"KEY_WEST","FL",24.56,-81.7,"Aw"
"KNOXVILLE","TN",35.82,-83.9,"Cfa"
"LAKE_CHARLES","LA",30.13,-93.2,"Cfa"
"LANSING","MI",42.78,-84,"Dfb/Dfa"
"LAS_VEGAS","NV",36.21205,-115.1939,"BWh"
"LEXINGTON","KY",38.03,-84.6,"Cfa"
"LINCOLN","NE",40.83,-96.7,"Dfa"
"LITTLE_ROCK","AR",34.73,-92.2,"Cfa"
"LOS_ANGELES","CA",34.02355,-118.2912,"Csb"
"LOUISVILLE","KY",38.17,-85.7,"Cfa"
"LUBBOCK","TX",33.67,-101.8,"BSk"
"MACON","MO",40.1,-92.5,"Dfa"
"MADISON","WI",43.14,-89.3,"Dfa/Dfb"
"MEDFORD","OR",42.37503,-122.8769,"Csa"
"MEMPHIS","TN",35.06,-89.9,"Cfa/Cf"
"MIAMI_BEACH","FL",25.91,-80.2,"Am"
"MIDLAND_ODESSA","TX",32.04,-102,"BSa"
"MILWAUKEE","WI",42.96,-87,"Dfa"
"MISSOULA","MT",46.92083,-114.092,"Dfb"
"MOBILE","AL",30.61,-88,"Cfa"
"MONTGOMERY","AL",32.3,-86.4,"Cfa"
"MPLS_ST_PAUL","MN",44.93,-93,"Dfa"
"NASHVILLE","TN",36.12,-86.6,"Cfa"
"NEW_ORLEANS","LA",30.05,-90,"Cfa"
"NEW_YORK_CITY","NY",40.78,-73.9,"Cfa"
"NEWARK","NJ",40.68,-74.1,"Cfa/Dfa"
"NORFOLK","VA",36.93,-76," Cfa"
"NORTH_PLATTE","NE",41.12,-100.6,"Dwa"
"OKLAHOMA_CITY","OK",35.39,-97,"Cfa"
"OMAHA","NE",41.31,-95,"Dfa"
"ORLANDO","FL",28.55,-81.3,"Cfa"
"PADUCAH","KY",37.06,-88.7,"Cfa"
"PENDLETON","OR",45.69757,-118.8344,"BSk"
"PEORIA","IL",40.67,-89.6,"Dfa"
"PHILADELPHIA","PA",39.87,-75.2,"Cfa"
"PHOENIX","AZ",33.427799,-112.00346,"BWh"
"PITTSBURGH","PA",40.36,-79.9,"Dfb"
"POCATELLO","ID",42.88987,-112.4323,"Dfb"
"PORTLAND","ME",43.64,-70,"Dfb"
"PORTLAND","OR",45.59578,-122.6091,"Csb"
"PROVIDENCE","RI",41.72,-71.4,"Dfa"
"PUEBLO","CO",38.29,-104.5,"BSk"
"RALEIGH_DURHAM","NC",35.89,-78.7,"Cfa"
"RAPID_CITY","SD",44.05,-103,"BSkw"
"RENO","NV",39.546,-119.82,"BSk"
"RICHMOND","CA",37.8771,-122.248,"Csb"
"ROANOKE","VA",37.32,-79.9,"Cfa"
"ROCHESTER","NY",43.12,-77.6,"Dfa"
"ROCKFORD","IL",42.19,-89,"Dfa"
"SACRAMENTO","CA",38.50674,-121.4959,"Csa"
"SALEM","OR",44.90493,-123.0009,"Csb"
"SALT_LAKE_CITY","UT",40.77069,-111.965,"Cfa"
"SAN_ANGELO","TX",31.35,-100.4,"BSh"
"SAN_ANTONIO","CA",38.14178,-122.5546,"Csb"
"SAN_DIEGO","CA",32.73361,-117.183,"Csa"
"SAN_FRANCISCO","CA",37.77056,-122.4269,"Csb"
"SAN_JOSE","CA",37.35917,-121.9241,"Csb"
"SAN_JUAN","PR",18.45,-66.11,"Bwk"
"SANTA_FE","NM",35.61,-106,"Bsk"
"SAVANNAH","GA",32.02,-81.1,"Cfa"
"SEATTLE","WA",47.65,-122.3,"Csb"
"SHREVEPORT","LA",32.45,-93.8,"Cfa"
"SIOUX_CITY","IA",42.4,-96.3,"Dfa"
"SIOUX_FALLS","SD",43.58,-96.7,"Dfa"
"SOUTH_BEND","IN",41.71,-86.3,"Dfa"
"SPOKANE","WA",47.68556,-117.3202,"Dsb"
"SPRINGFIELD","IL",39.85,-89.6,"Dfa"
"SPRINGFIELD","MO",37.24,-93.3,"Cfa"
"ST_LOUIS","MO",38.75,-90.3,"Cfa"
"ST_PETERSBURG","FL",27.77,-82.6,"Cfa"
"ST_STE_MARIE","IL",38.72,-88.1,"Dsb"
"ST_THOMAS","VI",18.34,-64.9,"Aw"
"SYRACUSE","NY",43.11,-76,"Dfb"
"TALLAHASSEE","FL",30.4,-84.3,"Cfa"
"TAMPA","FL",27.96,-82.5,"Cfa"
"TOLEDO","OH",41.74,-83.6,"Dfa"
"TOPEKA","KS",39.07,-95.6,"Dfa"
"TUCSON","AZ",32.16667,-110.8833,"BWh"
"TULSA","OK",36.2,-95.8,"Cfa"
"TUPELO","MS",34.27,-88.7,"Cfa"
"W_PALM_BEACH","FL",26.69,-80,"Af"
"WACO","TX",31.62,-97.2,"Cfa"
"WASHINGTON_DC","MD",38.85,-77,"Cfa"
"WICHITA","KS",37.65,-97.4,"Cfa/Dfa"
"WICHITA_FALLS","TX",33.98,-98.4,"Cfa"
"WILKES_BARRE","PA",41.34,-75.7,"Dfa"
"WILMINGTON","DE",39.67,-75.6,"Cfa"
"YAKIMA","WA",46.56402,-120.5348,"Csb"
"YOUNGSTOWN","OH",41.25,-80.6,"Dfb/Dfa"
"YUMA","AZ",32.65944,-114.593,"BWh"